Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru,Quarter
0xece6b7b88c41e37e9115dae8d46ed94baa4b1acab6a2a8b39e3f86b35728a6c7,2024-09-04,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x1d921dff757610fbdb0073479e12c0a07d382677,vegayp.eth,Salaries,4300.0,4300.0,USDC,1,Direct,2024Q3
0x7f0e25b68b4a7c9db23be4f7d786951c471f02383e8c7ef1d4ec722375ba0bac,2024-07-30,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xcc49c3bd98d95dfb0b3a51e7dff0cb18241afd9d,leticiaferraz.eth,Articles,2898.7,2898.7,USDC,1,Direct,2024Q3
0x94848f0d80d559d3fc7d623a87946f1d27b40fe4011ae09b3b69f993ec10974e,2024-09-04,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xcc49c3bd98d95dfb0b3a51e7dff0cb18241afd9d,leticiaferraz.eth,Articles,2700.0,2700.0,USDC,1,Direct,2024Q3
0xaf185a7378ae071cc0cad6e948d0d231d046496231737c1fad1a31b54c8670cd,2024-07-24,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x7674d60760918ae89ca71f2ce1af2b2e740e2c8e,eth-mexico.eth,Event,5000.0,5000.0,USDC,1,Direct,2024Q3
Interquarter,2024-09-30,Metagov,Metagov,Metagov,Metagov,Metagov,Metagov,51.13313777078292,484635.62427413,ENS,1,Direct,2024Q3
Interquarter,2024-09-30,Metagov,Metagov,Metagov,Metagov,Metagov,Metagov,83.68802789684156,20893.322369768517,ETH,1,Direct,2024Q3
Interquarter,2024-09-30,Metagov,Metagov,Metagov,Metagov,Metagov,Metagov,287228.90544200013,287228.90544200013,USDC,1,Direct,2024Q3
0x21d74d6f29711e19382e4cddfd3917f2a42cc9a5e04ac09fbb088a700b874e73,2024-07-11,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,374000.0,374000.0,USDC,1,Direct,2024Q3
0x21d74d6f29711e19382e4cddfd3917f2a42cc9a5e04ac09fbb088a700b874e73,2024-07-11,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,150000.0,3885000.0,ENS,1,Direct,2024Q3
0x62c9dd90f55c9421371eb6aafc2c418de3b85adeb0d837e5dce5044988490853,2024-07-19,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x3466eb008edd8d5052446293d1a7d212cb65c646,Hedgey Finance,$ENS Vesting,90000.0,2322000.0,ENS,1,Direct,2024Q3
0x1a893a7535c63320ea86381fe6760a5fd61a0998898f70724de1df6143b5665a,2024-09-17,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x3466eb008edd8d5052446293d1a7d212cb65c646,Hedgey Finance,$ENS Vesting,80000.0,1325600.0,ENS,1,Direct,2024Q3
0xadf127907a8db65f55553889fad46d9a11218cbe18038a0bad88e313bd7a2f99,2024-07-18,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x60dbf50076206f60bcc2edf9295f5734561b8d77,estmcmxci.eth,Salaries,4000.0,4000.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xea5c280f4328493b95962d5a0321d5f60cdff38c,avsa.eth,Salaries,4000.0,4000.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xa21875a467b43b63af15a712c3627a70798588fc,5pence.eth,Salaries,5500.0,5500.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x1d921dff757610fbdb0073479e12c0a07d382677,vegayp.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x60dbf50076206f60bcc2edf9295f5734561b8d77,estmcmxci.eth,Salaries,4000.0,4000.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x80ffe5f0f3e38cbd31e6f00b9423fb93bbb1a57d,184.eth,Salaries,3000.0,3000.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211,coltron.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x06130ede822a8148c2d6c5f0fe85910184fc468c,daemon.eth,Salaries,3000.0,3000.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,9500.0,9500.0,USDC,1,Direct,2024Q3
0x062488671129f06a56fafd338b7855ec87e20a09023269539bbcbf9b94ad1edb,2024-07-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,6500.0,6500.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x80ffe5f0f3e38cbd31e6f00b9423fb93bbb1a57d,184.eth,Salaries,3000.0,3000.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x60dbf50076206f60bcc2edf9295f5734561b8d77,estmcmxci.eth,Salaries,4000.0,4000.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xea5c280f4328493b95962d5a0321d5f60cdff38c,avsa.eth,Salaries,4000.0,4000.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,6500.0,6500.0,USDC,1,Direct,2024Q3
0xb324cd8523c3c99b2b55869cf82ef5ea31aea6ff1e767ab909a235ced980be2c,2024-08-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211,coltron.eth,Salaries,4500.0,4500.0,USDC,1,Direct,2024Q3
